# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/reference_genome/PlasmoDB-62_Pyoeliiyoelii17X.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/counts/2018_vs_2023_final_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep1.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep2.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep3.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep1.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep2.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep3.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep1.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep2.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_female_Rep3.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep1.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep2.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Py_2023/2018vs2023/map/WT_male_Rep3.bam.sort.bam
PY17X_1208700	Py17X_12_v3;Py17X_12_v3	405550;406723	406620;407538	+;+	1887	455	312	396	294	340	348
PY17X_1208800	Py17X_12_v3	408764	409393	+	630	591	556	521	193	204	252
PY17X_1208900	Py17X_12_v3	410393	410731	+	339	253	356	233	6	29	6
PY17X_1209000	Py17X_12_v3	411456	411785	+	330	68	102	113	0	5	2
PY17X_1209100	Py17X_12_v3	412984	417192	-	4209	1491	1243	2019	9803	9462	9766
PY17X_1209200	Py17X_12_v3	421320	423857	-	2538	11174	12475	11589	80	81	84
PY17X_1209300	Py17X_12_v3	426054	427667	+	1614	514	629	612	44	96	85
PY17X_1209400	Py17X_12_v3	430940	437038	+	6099	1262	926	1262	12913	9620	13076
PY17X_1209500	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	440582;443595;443842	443593;443840;451503	+;+;+	10920	4140	3602	3406	1637	1121	1419
PY17X_1209600	Py17X_12_v3	452177	453349	-	1173	371	293	301	2317	2661	3106
PY17X_1209700	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	454397;454618;454858;455056;455226;455491;455681	454501;454739;454962;455101;455306;455542;455778	+;+;+;+;+;+;+	609	484	492	415	556	437	820
PY17X_1209800	Py17X_12_v3;Py17X_12_v3	456365;458061	457659;458109	-;-	1344	7467	5906	7947	10439	10866	12124
PY17X_1209900	Py17X_12_v3	460686	463643	+	2958	403	556	525	2254	1550	2635
PY17X_1210000	Py17X_12_v3	466131	467291	+	1161	3	3	1	46	45	40
PY17X_1210100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	468989;469465;471070	469277;470417;471165	-;-;-	1338	19058	13533	19793	602023	724625	743411
PY17X_1210200	Py17X_12_v3	473283	474692	-	1410	2858	2449	3166	6120	7060	7569
PY17X_1210300	Py17X_12_v3;Py17X_12_v3	476385;476647	476468;477492	+;+	930	4406	3137	4503	948	879	1133
PY17X_1210400	Py17X_12_v3;Py17X_12_v3	478342;479278	478947;479400	-;-	729	1593	1324	1343	93	42	55
PY17X_1210500	Py17X_12_v3	480428	481252	+	825	1582	1340	1837	114	171	161
PY17X_1210600	Py17X_12_v3	481828	483018	+	1191	688	728	957	1569	1485	1935
PY17X_1210700	Py17X_12_v3	483933	486515	+	2583	1054	834	1005	4245	4336	5107
PY17X_1210800	Py17X_12_v3	487028	488794	-	1767	132	168	177	14	10	8
PY17X_1210900	Py17X_12_v3	490404	491399	+	996	249	193	254	106	105	110
PY17X_1211000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	491960;493010;493277	492796;493114;493390	-;-;-	1056	339	331	446	453	636	613
PY17X_1211100	Py17X_12_v3	495499	496713	+	1215	4407	3280	3876	454	442	529
PY17X_1211200	Py17X_12_v3	497213	498814	-	1602	2123	2240	2543	60	48	32
PY17X_1211300	Py17X_12_v3;Py17X_12_v3	500478;500867	500568;504450	-;-	3675	230	200	148	303	298	409
PY17X_1211400	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	505701;506002;506307	505797;506127;514789	-;-;-	8706	6460	5804	5115	312	368	358
PY17X_1211500	Py17X_12_v3;Py17X_12_v3	516846;519130	518990;519228	+;+	2244	290	366	481	19	27	16
PY17X_1211600	Py17X_12_v3;Py17X_12_v3	519325;519781	519630;520116	-;-	642	817	712	1011	420	535	499
PY17X_1211700	Py17X_12_v3	521168	522031	+	864	154	142	163	127	226	235
PY17X_1211800	Py17X_12_v3	522726	527582	-	4857	400	473	523	102	171	132
PY17X_1211900	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	530261;530788;531072	530532;530849;531091	+;+;+	354	1341	1798	1929	6631	7767	9438
PY17X_1212000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	531107;531465;531715;531924;532153;532927	531208;531571;531804;532046;532764;533104	-;-;-;-;-;-	1212	361	339	445	78565	88274	84362
PY17X_1212100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	533518;533619;533817;534117;534413;534678;534867;535088	533526;533655;533884;534314;534460;534728;534939;535152	+;+;+;+;+;+;+;+	549	522	579	515	30069	34517	36388
PY17X_1212200	Py17X_12_v3;Py17X_12_v3	536036;536206	536111;536840	-;-	711	2279	1550	2443	479	447	602
PY17X_1212300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	538496;538734;539171;539393;539664;539923;540143	538620;538785;539231;539514;539809;540028;540208	+;+;+;+;+;+;+	678	2441	2126	2984	181	224	287
PY17X_1212400	Py17X_12_v3	540520	541386	-	867	161	171	131	282	396	301
PY17X_1212500	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	542543;542712;543616;543832;544009	542608;543472;543711;543880;544071	+;+;+;+;+	1035	18	15	25	353	272	390
PY17X_1212600	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	544885;545266;545534;545833	545094;545340;545607;545905	-;-;-;-	432	27541	24245	26411	37767	35834	55018
PY17X_1212700	Py17X_12_v3;Py17X_12_v3	548155;548548	548401;550622	-;-	2322	809	1051	1439	356	323	376
PY17X_1212800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	551891;552183;552351;552555	552022;552239;552425;552638	+;+;+;+	348	488	472	712	44	33	74
PY17X_1212900	Py17X_12_v3	553495	555285	+	1791	105	121	168	36	21	43
PY17X_1213000	Py17X_12_v3	555804	556616	-	813	1967	1748	2282	615	461	863
PY17X_1213100	Py17X_12_v3	558522	559049	-	528	2054	1679	2571	241	275	294
PY17X_1213200	Py17X_12_v3	559477	561117	-	1641	75	115	74	27	6	8
PY17X_1213300	Py17X_12_v3	562863	563969	+	1107	319	406	639	1163	1583	1686
PY17X_1213400	Py17X_12_v3	567822	570761	+	2940	364028	376174	359543	13842	10880	13069
PY17X_1213500	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	572043;572549;572875;573034;573294;573567	572168;572688;572956;573195;573420;573850	-;-;-;-;-;-	921	12903	15580	14093	7559	8402	9011
PY17X_1213600	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	575158;576455;576743;576903;577138;577316;577453;577637;577845	576345;576575;576803;577013;577199;577353;577536;577737;578343	+;+;+;+;+;+;+;+;+	2265	613	554	663	5397	5879	6255
PY17X_1213700	Py17X_12_v3	579504	580730	-	1227	60	79	58	15	3	7
PY17X_1213800	Py17X_12_v3;Py17X_12_v3	582428;583077	582979;583310	+;+	786	2924	2515	2661	76	46	96
PY17X_1213900	Py17X_12_v3;Py17X_12_v3	584370;585056	584740;585263	-;-	579	11133	8548	12450	6652	8051	8345
PY17X_1214000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	587133;587849;588281	587717;587942;588297	-;-;-	696	4078	4099	5139	5279	5281	6944
PY17X_1214100	Py17X_12_v3	590075	591856	-	1782	7312	5207	7315	346	293	364
PY17X_1214200	Py17X_12_v3	593873	595507	-	1635	2416	1981	2442	2695	2857	3061
PY17X_1214300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	597207;600848;601200	600669;601049;601290	+;+;+	3756	277	367	320	166	113	213
PY17X_1214400	Py17X_12_v3	602141	604408	+	2268	358	403	520	55	45	53
PY17X_1214500	Py17X_12_v3;Py17X_12_v3	605282;606412	606294;606541	-;-	1143	1139	1122	1576	3759	2808	4552
PY17X_1214600	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	608470;608689;608887;609203	608548;608755;608981;610623	+;+;+;+	1662	493	432	573	133	136	166
PY17X_1214700	Py17X_12_v3;Py17X_12_v3	611575;613193	613002;615340	-;-	3576	642	707	912	212	217	254
PY17X_1214800	Py17X_12_v3	619326	621854	+	2529	1104	934	1417	6013	6034	6146
PY17X_1214900	Py17X_12_v3	622682	624481	-	1800	679	728	626	7	26	23
PY17X_1215000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	625611;625775;626008;626630;626979;627195;627388;627652;627894;628076;628300	625672;625888;626488;626852;627040;627263;627570;627759;627968;628176;629197	-;-;-;-;-;-;-;-;-;-;-	2376	7	32	29	134	131	162
PY17X_1215100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	633349;637281;637511;637694	637145;637359;637572;637793	+;+;+;+	4038	5082	5068	5629	21819	25099	24787
PY17X_1215200	Py17X_12_v3	639625	646047	+	6423	3553	3302	3473	254	230	342
PY17X_1215300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	646639;647037;647685	646883;647267;647796	+;+;+	588	14	14	6	10	6	13
PY17X_1215400	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	648529;648781;649032;650165	648597;648868;649959;650540	+;+;+;+	1461	56	43	91	137	147	147
PY17X_1215500	Py17X_12_v3	651390	654509	-	3120	514	693	560	218	209	255
PY17X_1215600	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	656013;656223;656398;656530;656680;656995;657563	656068;656289;656433;656594;656856;657277;657910	-;-;-;-;-;-;-	1032	395	449	775	1068	1314	1418
PY17X_1215700	Py17X_12_v3	659202	663143	+	3942	1782	1814	2166	3652	3238	3874
PY17X_1215800	Py17X_12_v3;Py17X_12_v3	664437;664876	664664;667134	+;+	2487	70	48	144	11993	12115	14258
PY17X_1215900	Py17X_12_v3;Py17X_12_v3	669513;675586	675330;675857	+;+	6090	5855	6244	6847	30002	25388	27765
PY17X_1216000	Py17X_12_v3	676692	677666	+	975	349	379	563	72	62	62
PY17X_1216100	Py17X_12_v3	678762	682727	+	3966	958	1077	1247	3	4	10
PY17X_1216200	Py17X_12_v3	683466	690458	-	6993	2382	2016	2292	18747	15489	17242
PY17X_1216300	Py17X_12_v3	695855	696706	+	852	781	575	776	728	860	1020
PY17X_1216400	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	697045;697390;697566;698032;698363;698958;699945;700444;700627;701081;701290	697098;697447;697824;698107;698756;699810;700285;700494;700845;701134;701342	-;-;-;-;-;-;-;-;-;-;-	2412	59	36	61	26594	27592	27346
PY17X_1216500	Py17X_12_v3	701912	707998	-	6087	52569	55804	51425	636	722	664
PY17X_1216600	Py17X_12_v3	710884	711885	+	1002	550	807	1055	3668	4387	4088
PY17X_1216700	Py17X_12_v3	712873	713958	-	1086	435	480	611	68	89	97
PY17X_1216800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	715110;717010;717550	716732;717164;717769	-;-;-	1998	9676	9292	12910	503	634	519
PY17X_1216900	Py17X_12_v3	718483	719958	+	1476	5060	4076	6608	292	254	357
PY17X_1217000	Py17X_12_v3	720634	721965	+	1332	823	1065	1001	73	91	129
PY17X_1217100	Py17X_12_v3	722544	724148	-	1605	51	28	43	28	38	55
PY17X_1217200	Py17X_12_v3;Py17X_12_v3	725235;727037	726835;727175	-;-	1740	1118	682	859	408	590	629
PY17X_1217300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	728155;728471;728721;728878;729105;729297;729471;729790;730193	728307;728603;728788;728950;729178;729351;729691;729950;730250	-;-;-;-;-;-;-;-;-	996	457	592	1226	2459	3035	3264
PY17X_1217400	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	731464;731688;731840;732135;732907	731550;731720;731976;732792;732999	+;+;+;+;+	1008	4751	5494	7654	18959	21051	20911
PY17X_1217500	Py17X_12_v3;Py17X_12_v3	734960;735223	735002;736520	+;+	1341	3923	2682	3887	172747	203063	221287
PY17X_1217600	Py17X_12_v3	738774	740288	+	1515	43195	45470	38595	65	87	108
PY17X_1217700	Py17X_12_v3	741139	741870	-	732	64	56	42	1213	1754	1422
PY17X_1217800	Py17X_12_v3	743454	745256	+	1803	256	278	352	2835	3197	2733
PY17X_1217900	Py17X_12_v3	746283	749351	-	3069	10795	8639	10125	10818	8720	10416
PY17X_1218000	Py17X_12_v3	753809	755791	+	1983	4635	3676	3898	1799	2092	2083
PY17X_1218100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	756351;756638;757046	756479;756864;758780	-;-;-	2091	12370	10365	12496	11552	13585	13573
PY17X_1218200	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	759923;760494;761059;761383	760355;760809;761239;761418	-;-;-;-	966	997	718	980	230	246	316
PY17X_1218300	Py17X_12_v3	763219	766506	+	3288	293	379	439	181	241	215
PY17X_1218400	Py17X_12_v3	766729	767964	-	1236	194	254	289	1247	1267	1626
PY17X_1218500	Py17X_12_v3	768359	769669	-	1311	192	161	249	1071	1369	1066
PY17X_1218600	Py17X_12_v3	770744	775228	-	4485	2048	2142	2803	3626	4415	3698
PY17X_1218700	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	777007;777223;777574	777024;777320;777622	+;+;+	165	5517	4329	5221	2033	2267	2371
PY17X_1218800	Py17X_12_v3;Py17X_12_v3	779442;780095	779604;780720	+;+	789	6608	6520	7690	2874	2733	4013
PY17X_1218900	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	781230;781426;781576;781865;782191	781276;781489;781706;782077;782290	-;-;-;-;-	555	630	625	972	11937	15177	14578
PY17X_1219000	Py17X_12_v3;Py17X_12_v3	783682;791532	791423;791649	+;+	7860	987	961	1857	46664	53079	57415
PY17X_1219100	Py17X_12_v3	792091	795939	-	3849	549	539	513	18698	17549	17888
PY17X_1219200	Py17X_12_v3	797910	798809	+	900	356	406	488	677	1075	847
PY17X_1219300	Py17X_12_v3;Py17X_12_v3	799152;799449	799232;801608	-;-	2241	789	932	1024	244	294	235
PY17X_1219400	Py17X_12_v3	803893	805575	+	1683	351	456	471	301	409	370
PY17X_1219500	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	806900;807249;808827;809069;809290;809583;809746;809926;810119;810384;810593;810741;810897;811042	806909;808675;808868;809158;809375;809664;809810;809988;810270;810418;810621;810795;810954;811157	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2310	4724	3994	4539	273	255	331
PY17X_1219600	Py17X_12_v3	811804	813645	+	1842	135	114	117	29	49	55
PY17X_1219700	Py17X_12_v3	815257	815769	+	513	9265	6987	10364	2494	2889	3086
PY17X_1219800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	816616;816929;817139;817314;817684;818207	816711;817001;817195;817432;817995;821050	-;-;-;-;-;-	3501	955	753	912	226	209	258
PY17X_1219900	Py17X_12_v3	823864	831024	-	7161	765	836	1317	13302	9904	11889
PY17X_1220000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	834207;839058;839484;839676;839898	838871;839264;839572;839775;840092	+;+;+;+;+	5256	3288	3423	3033	23165	17006	19731
PY17X_1220100	Py17X_12_v3;Py17X_12_v3	840646;841179	840998;842988	-;-	2163	1347	1161	1245	213	216	193
PY17X_1220200	Py17X_12_v3	844256	846877	+	2622	446	378	415	171	163	287
PY17X_1220300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	847381;847604;847860;848507	847450;847652;848395;848811	-;-;-;-	960	4171	4288	3838	1102	911	1266
PY17X_1220400	Py17X_12_v3	851303	854347	+	3045	278	334	419	109	75	92
PY17X_1220500	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	855292;855751;855992;856171;856361;856620;856904	855529;855881;856042;856231;856525;856687;857392	+;+;+;+;+;+;+	1203	738	672	724	289	332	318
PY17X_1220600	Py17X_12_v3	858844	863715	+	4872	275	335	332	56	49	47
PY17X_1220700	Py17X_12_v3;Py17X_12_v3	864069;864444	864281;865622	-;-	1392	417	336	305	30	50	62
PY17X_1220800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	867176;867467;868013	867306;867718;868106	-;-;-	477	5475	4265	6370	706	835	858
PY17X_1220900	Py17X_12_v3;Py17X_12_v3	870518;871634	871428;872024	-;-	1302	19542	13181	16182	15031	14704	18232
PY17X_1221000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	875817;876067;876253;876419;876591;876868;877066;877298	875904;876133;876310;876505;876652;876949;877130;877340	-;-;-;-;-;-;-;-	552	4844	5335	5668	2206	2147	2734
PY17X_1221100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	878176;878439;878722;878925;879229	878247;878551;878755;878993;879339	+;+;+;+;+	399	3889	3613	4230	1505	1476	2164
PY17X_1221200	Py17X_12_v3	879958	881391	-	1434	12878	13329	14029	224	299	304
PY17X_1221300	Py17X_12_v3	885632	895504	+	9873	286	252	289	846	650	747
PY17X_1221400	Py17X_12_v3	896771	898378	-	1608	10483	8573	7645	5119	5376	5776
PY17X_1221500	Py17X_12_v3	899678	901261	-	1584	37692	42202	45072	108	111	122
PY17X_1221600	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	902053;902268;902402;902658;902960;903449	902166;902311;902548;902744;903066;903615	-;-;-;-;-;-	666	1552	1891	1936	4609	5256	6211
PY17X_1221700	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	905459;905741;906120;906471;907015	905555;905877;906182;906579;907043	-;-;-;-;-	435	14095	11384	16400	46983	60358	57280
PY17X_1221800	Py17X_12_v3	909725	910567	+	843	4037	3282	4723	305	295	358
PY17X_1221900	Py17X_12_v3	911664	913001	+	1338	1831	1893	2256	455	449	544
PY17X_1222000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	913320;913559;921422;921726	913426;921318;921524;921867	-;-;-;-	8112	318	358	599	2637	2630	2754
PY17X_1222100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	923364;923726;924067	923558;923876;924194	-;-;-	474	3919	3417	4054	3136	3895	4095
PY17X_1222200	Py17X_12_v3;Py17X_12_v3	925072;925844	925839;927541	-;-	2466	3212	2301	2212	3987	3229	3380
PY17X_1222300	Py17X_12_v3;Py17X_12_v3	929023;929942	929733;929974	-;-	744	82636	94411	106106	2694	1789	2929
PY17X_1222400	Py17X_12_v3	930892	931518	-	627	21442	14872	23711	5383	6508	6765
PY17X_1222500	Py17X_12_v3	935068	937587	+	2520	3526	2829	3747	6552	6109	7503
PY17X_1222600	Py17X_12_v3	938833	939693	-	861	269	297	245	19	28	59
PY17X_1222700	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	940867;941527;942005;942204;942468;942718;942906;943142;943294;943459;943647;943793;943971	940957;941874;942098;942336;942539;942793;942988;943192;943350;943551;943691;943847;944047	+;+;+;+;+;+;+;+;+;+;+;+;+	1275	1965	1611	1983	4243	5241	5728
PY17X_1222800	Py17X_12_v3	945956	948949	+	2994	638	614	593	2354	2819	2825
PY17X_1222900	Py17X_12_v3	949651	950400	-	750	766	1158	852	11	37	22
PY17X_1223000	Py17X_12_v3	950896	958215	-	7320	260	192	189	892	964	890
PY17X_1223100	Py17X_12_v3;Py17X_12_v3	959708;961498	961366;963237	-;-	3399	2230	3174	2809	5470	6052	5417
PY17X_1223200	Py17X_12_v3;Py17X_12_v3	964614;964999	964857;965207	+;+	453	12818	15276	13319	1503	1975	2167
PY17X_1223300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	965796;965940;966262;966790;968533	965839;966032;966648;968530;969495	-;-;-;-;-	3228	325	271	303	1446	1531	1713
PY17X_1223400	Py17X_12_v3	971571	973352	-	1782	772	542	940	453	455	520
PY17X_1223500	Py17X_12_v3	976405	977535	-	1131	956	822	1315	116	104	143
PY17X_1223600	Py17X_12_v3	978743	978940	+	198	1026	1027	1216	19	16	7
PY17X_1223700	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	980293;981588;983865	981374;983771;986262	-;-;-	5664	2395	1826	1899	2186	2274	2307
PY17X_1223800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	988405;993206;993631;994457;994714;994967;995801	993093;993437;994358;994601;994841;995695;998323	-;-;-;-;-;-;-	9174	700	779	672	5259	4876	5220
PY17X_1223900	Py17X_12_v3	999962	1001332	+	1371	546	960	652	201	415	304
PY17X_1224000	Py17X_12_v3	1003164	1009124	+	5961	556	298	509	635	515	519
PY17X_1224100	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1009853;1010138;1010436;1010838	1010032;1010306;1010618;1010923	-;-;-;-	618	18	8	10	50	65	98
PY17X_1224200	Py17X_12_v3	1011632	1012915	+	1284	17	27	15	71	87	67
PY17X_1224300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1013279;1013498;1013749;1013984;1014386	1013355;1013584;1013883;1014212;1014592	-;-;-;-;-	735	443	369	436	2204	2355	2635
PY17X_1224400	Py17X_12_v3;Py17X_12_v3	1015963;1016624	1016298;1016782	-;-	495	4015	2967	3829	7156	8404	9113
PY17X_1224500	Py17X_12_v3	1018566	1019285	-	720	522	382	434	122	171	151
PY17X_1224600	Py17X_12_v3	1020127	1021089	-	963	428	433	471	263	401	285
PY17X_1224700	Py17X_12_v3	1022131	1023231	+	1101	816	1056	953	50	56	72
PY17X_1224800	Py17X_12_v3	1024317	1027805	-	3489	98	122	108	751	839	923
PY17X_1224900	Py17X_12_v3	1029449	1029970	-	522	4153	4816	4721	63	157	62
PY17X_1225000	Py17X_12_v3	1031934	1034711	+	2778	218	175	262	131	189	160
PY17X_1225100	Py17X_12_v3	1035702	1036211	+	510	725	678	797	195	160	249
PY17X_1225200	Py17X_12_v3	1036723	1038894	-	2172	515	809	669	332	394	417
PY17X_1225300	Py17X_12_v3	1041318	1043315	+	1998	2301	2206	3143	1387	1611	1592
PY17X_1225400	Py17X_12_v3;Py17X_12_v3	1044811;1045088	1044939;1045231	+;+	273	2927	2710	3167	77	70	90
PY17X_1225500	Py17X_12_v3;Py17X_12_v3	1045678;1047165	1046511;1047182	-;-	852	774	1100	1213	34	61	60
PY17X_1225600	Py17X_12_v3;Py17X_12_v3	1048200;1049338	1048905;1049351	-;-	720	2551	2389	3754	5493	6589	6347
PY17X_1225700	Py17X_12_v3	1052297	1053964	+	1668	75946	64272	85356	44053	38586	48006
PY17X_1225800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1055027;1055475;1055866	1055379;1055694;1059603	-;-;-	4311	613	541	972	5456	6475	6343
PY17X_1225900	Py17X_12_v3	1060813	1064304	-	3492	223	189	214	672	757	785
PY17X_1226000	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1065292;1065618;1066444	1065485;1066325;1066660	-;-;-	1119	1904	1564	2942	2713	2857	3302
PY17X_1226100	Py17X_12_v3;Py17X_12_v3	1067634;1067838	1067723;1069010	+;+	1263	3447	3051	3651	4702	5822	5600
PY17X_1226200	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1070640;1071114;1071513	1070889;1071398;1074301	+;+;+	3324	1147	1023	1209	842	842	885
PY17X_1226300	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1075440;1076099;1076567	1075795;1076449;1076642	-;-;-	783	1096	810	1187	9450	12350	11677
PY17X_1226400	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1077517;1077922;1078182;1078375;1078812	1077660;1077987;1078217;1078494;1079009	-;-;-;-;-	564	196	278	255	376	513	561
PY17X_1226500	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1080831;1081259;1081599;1081939	1081167;1081397;1081664;1082002	-;-;-;-	606	413	331	617	552	554	618
PY17X_1226600	Py17X_12_v3;Py17X_12_v3	1084316;1085325	1085130;1085745	-;-	1236	159	143	218	3232	4276	4181
PY17X_1226700	Py17X_12_v3	1087633	1091145	+	3513	97	85	135	16279	16094	16027
PY17X_1226800	Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3;Py17X_12_v3	1091254;1091384;1091600;1091856;1092049;1092228;1092453;1092709;1092862	1091291;1091414;1091715;1091958;1092096;1092346;1092585;1092785;1092862	-;-;-;-;-;-;-;-;-	666	1354	1218	1730	1655	2254	1931
PY17X_1226900	Py17X_12_v3	1093676	1094782	+	1107	156	233	190	289	229	340
