# Program:featureCounts v2.0.3; Command:"featureCounts" "-p" "-O" "-T" "8" "-a" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/reference/PlasmoDB-62_PbergheiANKA.gtf" "-o" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/featurecounts/pb_2017_final_counts_output.txt" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_1_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_2_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_3_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_1_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_2_trimmed.bam.sort.bam" "/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_3_trimmed.bam.sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_1_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_2_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_f_3_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_1_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_2_trimmed.bam.sort.bam	/cluster/facility/jyuan/ximo/Rbpm1/Pb_2017/map/pb_m_3_trimmed.bam.sort.bam
PBANKA_0513100	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	503516;507340;507513;507657	507193;507390;507557;507740	+;+;+;+	3858	269	294	220	748	556	627
PBANKA_0513200	PbANKA_05_v3	508497	510194	+	1698	294	307	265	513	494	373
PBANKA_0513300	PbANKA_05_v3	510506	512734	-	2229	240	173	184	370	293	178
PBANKA_0513400	PbANKA_05_v3	513612	515171	-	1560	323	273	262	1665	1202	1310
PBANKA_0513500	PbANKA_05_v3	516238	516579	-	342	52	59	53	509	554	738
PBANKA_0513600	PbANKA_05_v3	517733	518824	+	1092	7537	6914	4316	16313	16320	6821
PBANKA_0513700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	519374;521531;521860	521407;521779;521922	-;-;-	2346	49	54	75	16	25	3
PBANKA_0513800	PbANKA_05_v3	522782	524107	-	1326	1009	784	871	1382	1321	922
PBANKA_0513900	PbANKA_05_v3	527453	531493	+	4041	7183	6535	7852	22530	18037	28658
PBANKA_0514000	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	532773;532907;533044;533347	532788;532958;533140;533577	+;+;+;+	396	1945	1428	1368	717	847	412
PBANKA_0514100	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	534064;535638;536110;536268	535506;535766;536166;538127	-;-;-;-	3489	2321	2129	2168	3289	3163	1670
PBANKA_0514200	PbANKA_05_v3	539168	540427	-	1260	1000	697	812	458	378	273
PBANKA_0514300	PbANKA_05_v3	541764	544607	-	2844	9835	11422	8607	5912	6850	5656
PBANKA_0514400	PbANKA_05_v3;PbANKA_05_v3	549581;550339	550134;550456	-;-	672	256	178	213	759	719	812
PBANKA_0514500	PbANKA_05_v3	552514	553686	+	1173	1227	1206	1038	3634	3647	3639
PBANKA_0514600	PbANKA_05_v3	554171	555913	-	1743	469	388	251	823	823	329
PBANKA_0514700	PbANKA_05_v3	556556	557275	+	720	165	114	64	408	331	178
PBANKA_0514800	PbANKA_05_v3	557902	558621	+	720	2474	2247	2109	296	437	194
PBANKA_0514900	PbANKA_05_v3	559422	560063	-	642	1018684	863482	941715	13784	21084	8224
PBANKA_0515000	PbANKA_05_v3	561489	562142	-	654	887688	919126	824231	10172	20694	5078
PBANKA_0515100	PbANKA_05_v3;PbANKA_05_v3	563361;563904	563793;564034	-;-	564	200	197	191	236	150	175
PBANKA_0515200	PbANKA_05_v3	565880	566974	+	1095	687	625	597	786	640	657
PBANKA_0515300	PbANKA_05_v3	567818	569893	+	2076	6208	5521	5826	1211	1299	806
PBANKA_0515350	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	571307;571491;571615;571957;572151;572311;572503;572712	571369;571538;571755;572036;572214;572406;572580;573179	+;+;+;+;+;+;+;+	1038	685	536	713	72	63	65
PBANKA_0515400	PbANKA_05_v3	577225	579195	+	1971	3586	2930	3478	1415	1390	1115
PBANKA_0515500	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	581042;581435;581649;581845	581213;581545;581698;581859	+;+;+;+	348	308	346	307	933	864	628
PBANKA_0515600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	582346;583355;583873	583256;583624;584002	-;-;-	1311	82	76	76	252	175	136
PBANKA_0515700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	584376;584846;586051;586349;586763	584618;585870;586243;586620;586832	-;-;-;-;-	1803	518	482	494	326	267	225
PBANKA_0515800	PbANKA_05_v3;PbANKA_05_v3	587381;587752	587489;589613	-;-	1971	314	264	178	1445	1014	848
PBANKA_0515900	PbANKA_05_v3	593038	596031	+	2994	3812	3848	3512	12153	14100	14748
PBANKA_0516000	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	596467;596624;596944;597060;597281	596494;596758;596987;597116;597415	-;-;-;-;-	399	7492	7391	7017	148	273	115
PBANKA_0516100	PbANKA_05_v3	598365	600641	+	2277	909	898	1076	608	547	353
PBANKA_0516200	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	600815;600981;601185;601384;601528;602358;602670	600866;601050;601272;601425;602277;602554;602829	-;-;-;-;-;-;-	1359	3122	2715	2779	3237	2799	2424
PBANKA_0516300	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	603979;604353;604676	604178;604580;605033	-;-;-	786	1385	969	891	4125	3594	4618
PBANKA_0516400	PbANKA_05_v3	607049	608092	+	1044	839	842	958	639	635	657
PBANKA_0516500	PbANKA_05_v3	608577	609932	-	1356	1116	987	1062	4977	4576	5591
PBANKA_0516600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	610894;611668;611888;612216	611475;611767;612018;612335	-;-;-;-	933	987	877	818	6105	6170	7774
PBANKA_0516700	PbANKA_05_v3	613391	618007	-	4617	597	424	526	665	486	259
PBANKA_0516800	PbANKA_05_v3	618910	620406	+	1497	1039	900	885	826	917	369
PBANKA_0516900	PbANKA_05_v3	621343	625554	-	4212	6243	5295	5774	11777	8439	8836
PBANKA_0517000	PbANKA_05_v3	628632	629573	+	942	9749	7643	7115	24751	21949	23489
PBANKA_0517100	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	630946;631188;631428	631064;631249;631615	-;-;-	369	286	214	190	2290	2105	2498
PBANKA_0517200	PbANKA_05_v3	632383	633273	+	891	862	858	520	4597	4473	4548
PBANKA_0517300	PbANKA_05_v3	634479	636551	+	2073	1060	880	762	2157	1873	1584
PBANKA_0517400	PbANKA_05_v3	637132	639843	-	2712	3149	2553	2367	5162	4863	4619
PBANKA_0517500	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	641272;642254;642427	641965;642337;643118	+;+;+	1470	4609	3924	3762	5393	6069	4809
PBANKA_0517600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	643900;644675;644847;645003;645193;645363;645559;645723	644413;644736;644885;645064;645272;645426;645596;646279	+;+;+;+;+;+;+;+	1416	92506	87800	85780	846	1752	466
PBANKA_0517700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	647117;647431;647680;647968;648270	647265;647559;647847;648047;648319	-;-;-;-;-	576	1638	1420	1228	3009	3265	3887
PBANKA_0517800	PbANKA_05_v3	651398	653326	-	1929	1526	1042	1325	1817	1524	1401
PBANKA_0517900	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	654098;654367;654599;654743;654974	654194;654431;654634;654777;655163	-;-;-;-;-	423	1273	1211	1190	657	457	424
PBANKA_0518000	PbANKA_05_v3	655706	656338	+	633	2536	2180	2363	849	920	714
PBANKA_0518100	PbANKA_05_v3	657588	659384	+	1797	576	506	645	103	98	100
PBANKA_0518200	PbANKA_05_v3	660064	661959	-	1896	3222	2280	2892	1249	946	742
PBANKA_0518300	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	664112;664439;668087;668340;668525;668732;668905;669200	664151;667898;668173;668392;668627;668788;669052;669331	+;+;+;+;+;+;+;+	4080	2217	2225	2027	1812	1897	1426
PBANKA_0518400	PbANKA_05_v3	669798	670625	-	828	293	225	282	942	691	873
PBANKA_0518500	PbANKA_05_v3	671730	672266	+	537	19089	16443	17824	1745	1905	1913
PBANKA_0518600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	672991;673209;673414;673675;673922;674119;674328;674489;674705;674951;675252;675416	673043;673316;673558;673808;674009;674182;674374;674536;674817;675043;675318;675457	+;+;+;+;+;+;+;+;+;+;+;+	1002	995	798	817	647	603	235
PBANKA_0518700	PbANKA_05_v3	677079	679775	+	2697	5049	4560	4419	5121	5310	2598
PBANKA_0518800	PbANKA_05_v3	680579	683761	-	3183	359	283	195	1113	847	415
PBANKA_0518900	PbANKA_05_v3	686159	687592	+	1434	271	190	240	229	255	111
PBANKA_0519000	PbANKA_05_v3	688663	690927	+	2265	4054	3368	3176	4341	5583	1694
PBANKA_0519100	PbANKA_05_v3	693089	693973	+	885	627	745	130	2772	3629	940
PBANKA_0519200	PbANKA_05_v3	695401	696582	+	1182	359	473	183	1095	2046	369
PBANKA_0519300	PbANKA_05_v3	697906	699636	+	1731	336	353	289	967	1463	359
PBANKA_0519400	PbANKA_05_v3	701104	702897	+	1794	2568	2167	1852	2977	4234	1489
PBANKA_0519500	PbANKA_05_v3	704587	705303	+	717	120	76	67	225	294	101
PBANKA_0519600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	706751;706959;707341	706860;707166;707685	+;+;+	663	1221	1000	1168	574	538	320
PBANKA_0519700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	707940;708150;708339;708581;708794;708988;709215;709518	707969;708217;708460;708678;708880;709052;709338;709565	-;-;-;-;-;-;-;-	642	1658	1377	1155	4928	4386	4531
PBANKA_0519800	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	710549;710765;711058;711233;711434;712395;712688;712889;713428	710608;710868;711115;711319;712265;712579;712772;712988;713590	-;-;-;-;-;-;-;-;-	1674	3263	2414	3021	2077	1667	1576
PBANKA_0519900	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	714500;714730;715184	714513;714926;719748	-;-;-	4776	7014	6836	6056	10867	11194	9807
PBANKA_0520000	PbANKA_05_v3	723066	725270	-	2205	946	755	683	1056	892	508
PBANKA_0520100	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	726926;727316;727593;727800;728085;728363;728611;728845;729067;729421;729857;730359	727161;727430;727691;728008;728221;728469;728676;728950;729285;729722;730137;730614	+;+;+;+;+;+;+;+;+;+;+;+	2133	4442	3919	4519	318	376	152
PBANKA_0520200	PbANKA_05_v3	731281	732186	-	906	9197	7222	9112	4033	3371	2401
PBANKA_0520300	PbANKA_05_v3	734381	737749	-	3369	364	314	299	2487	1575	1933
PBANKA_0520400	PbANKA_05_v3	740192	742441	+	2250	1963	1596	2098	2445	2318	2580
PBANKA_0520500	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	743741;744074;744966	743871;744834;746701	+;+;+	2628	1407	1141	1075	1281	1419	874
PBANKA_0520600	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	748232;748500;748811	748334;748620;748904	+;+;+	318	778	725	515	1394	1543	872
PBANKA_0520700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	749084;749448;749618;749805;749974;750457;750784;751025;751242;751479;751744;751929;752093;752814;753197;753506;753965	749182;749483;749710;749896;750281;750590;750867;751098;751388;751646;751804;751997;752611;753092;753301;753692;754290	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2781	1692	1610	1623	21732	21399	28136
PBANKA_0520800	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	754907;755290;755565;756090	755074;755400;755684;756380	-;-;-;-	690	523	488	424	856	587	692
PBANKA_0520900	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	757268;757598;757841;758113	757304;757737;757905;758230	+;+;+;+	360	3371	2856	2160	7619	8500	6179
PBANKA_0521000	PbANKA_05_v3	758778	761567	-	2790	475	410	287	3725	2164	1947
PBANKA_0521100	PbANKA_05_v3;PbANKA_05_v3	762207;762515	762270;762627	+;+	177	168	123	105	446	466	461
PBANKA_0521200	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	762840;763022;763375;763590;763841;764124;764570;764790;764973	762927;763134;763491;763709;763945;764438;764668;764870;765014	-;-;-;-;-;-;-;-;-	1080	1647	1634	1926	20078	20247	29071
PBANKA_0521221	PbANKA_05_v3	768187	770234	+	2048	3	9	1	7	51	0
PBANKA_0521241	PbANKA_05_v3	770761	770896	+	136	28	30	19	56	96	72
PBANKA_0521261	PbANKA_05_v3	772607	776624	+	4018	15	13	23	22	66	21
PBANKA_0521300	PbANKA_05_v3	778441	786849	-	8409	2404	2486	2374	5602	5528	4263
PBANKA_0521400	PbANKA_05_v3	790041	791807	+	1767	462	511	361	1373	1545	1262
PBANKA_0521500	PbANKA_05_v3	792580	796248	-	3669	420	359	534	1478	730	1413
PBANKA_0521600	PbANKA_05_v3	798147	799709	+	1563	930	760	653	1721	1527	1108
PBANKA_0521700	PbANKA_05_v3	804391	812718	+	8328	2993	3316	2719	4434	4205	3404
PBANKA_0521800	PbANKA_05_v3	814582	815379	+	798	126	84	63	522	333	308
PBANKA_0521900	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	815782;815953;816125;816345;816604;816801	815827;816010;816249;816466;816662;816984	-;-;-;-;-;-	594	1290	1354	1294	6706	7269	9536
PBANKA_0522000	PbANKA_05_v3	818241	819638	+	1398	310	378	407	2146	2037	2213
PBANKA_0522100	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	819698;819926;820197;820555;820976;821194	819821;820091;820273;820818;821082;825741	-;-;-;-;-;-	5286	91	88	129	13592	10580	17160
PBANKA_0522200	PbANKA_05_v3	827806	828165	+	360	9859	10095	11004	507	609	453
PBANKA_0522300	PbANKA_05_v3	828981	829208	+	228	1405	2737	2928	85	128	32
PBANKA_0522400	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	830386;830627;831142;831327;831624	830490;830959;831232;831457;831932	+;+;+;+;+	969	3367	2889	2878	324	351	232
PBANKA_0522500	PbANKA_05_v3	832747	833853	+	1107	652	635	659	774	812	505
PBANKA_0522600	PbANKA_05_v3	834993	843971	-	8979	5666	6192	5975	8347	7841	6540
PBANKA_0522700	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	848149;848383;848661	848210;848503;849830	+;+;+	1353	19988	16716	17840	185393	212525	357410
PBANKA_0522800	PbANKA_05_v3;PbANKA_05_v3	851991;852436	851993;852951	+;+	519	7635	6711	5373	11587	13340	6643
PBANKA_0522900	PbANKA_05_v3	854693	862054	+	7362	1416	1572	1288	2707	3211	2285
PBANKA_0523000	PbANKA_05_v3	862161	862580	-	420	53	96	80	200	166	173
PBANKA_0523100	PbANKA_05_v3	863845	865017	+	1173	795	691	691	2443	2033	2115
PBANKA_0523200	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	866523;867249;867787;867955;868222;868456;868593	867171;867662;867828;868039;868281;868505;868666	+;+;+;+;+;+;+	1374	207	179	207	288	159	110
PBANKA_0523300	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	869087;869415;869689;869982	869255;869537;869894;870251	+;+;+;+	768	1016	859	903	1012	1123	768
PBANKA_0523400	PbANKA_05_v3	871355	872089	+	735	303	308	338	413	442	334
PBANKA_0523500	PbANKA_05_v3;PbANKA_05_v3	872537;873041	872795;873222	-;-	441	158	120	135	249	224	140
PBANKA_0523600	PbANKA_05_v3;PbANKA_05_v3	873622;873926	873682;874275	+;+	411	4538	4470	4277	636	779	390
PBANKA_0523700	PbANKA_05_v3	874814	875812	-	999	401	503	206	3454	5035	3357
PBANKA_0523800	PbANKA_05_v3	878004	878507	+	504	67	53	46	942	970	805
PBANKA_0523900	PbANKA_05_v3;PbANKA_05_v3	880573;881345	881254;881766	+;+	1104	169296	142958	163139	10696	11949	9449
PBANKA_0524000	PbANKA_05_v3	882750	886316	-	3567	666	795	756	2643	2760	2477
PBANKA_0524100	PbANKA_05_v3;PbANKA_05_v3	888225;888345	888241;889206	-;-	879	160	113	70	415	380	222
PBANKA_0524200	PbANKA_05_v3	890531	890998	-	468	2700	1798	1890	12684	14498	15749
PBANKA_0524300	PbANKA_05_v3;PbANKA_05_v3	894066;894981	894860;895250	-;-	1065	6242	5532	4078	26498	26859	20484
PBANKA_0524400	PbANKA_05_v3;PbANKA_05_v3	897165;898199	897974;898375	-;-	987	409	386	210	1831	1607	1124
PBANKA_0524500	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	900990;901194;901805	901108;901680;901852	-;-;-	654	15	32	2	111	147	43
PBANKA_0524600	PbANKA_05_v3;PbANKA_05_v3	903992;904309	904192;904803	-;-	696	750	596	683	4095	3510	4759
PBANKA_0524700	PbANKA_05_v3;PbANKA_05_v3	910115;910283	910183;912994	+;+	2781	7620	7276	6593	11268	11359	10960
PBANKA_0524800	PbANKA_05_v3	916590	916937	-	348	10455	9123	6728	24919	27824	16993
PBANKA_0524821	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	919110;919410;919744;920020;920189;920590	919214;919643;919856;920089;920420;920729	-;-;-;-;-;-	894	0	1	0	5	2	2
PBANKA_0524841	PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3;PbANKA_05_v3	922083;926745;928074;928215;928389;928404;928548;928596;928641;928674;928902;929040;929058;929109;929262;929277;929466;929523;929715;929946;930177;930364	926742;928071;928213;928387;928402;928546;928594;928639;928672;928900;929037;929056;929106;929260;929275;929464;929520;929712;929943;930174;930236;930418	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8181	0	0	1	0	5	2
PBANKA_0400100	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	321;538;2379	428;2238;2396	-;-;-	1827	42	42	12	91	138	57
PBANKA_0400200	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	5285;5434;5921;6111;6308	5326;5919;6109;6173;6319	-;-;-;-;-	792	5	4	7	81	74	64
PBANKA_0400500	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	8143;8540;10945	8454;10834;10959	-;-;-	2622	960	621	824	5658	3860	6265
PBANKA_0400600	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	13698;13874;14817	13784;14710;14831	-;-;-	939	30	23	4	837	482	480
PBANKA_0400700	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	18800;19081;19414;19654;19851;20237	18930;19279;19483;19757;20081;20293	+;+;+;+;+;+	792	22	15	0	47	29	3
PBANKA_0400800	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	21899;21986;22341;22563;22773;23187	21906;22241;22401;22672;23008;23292	+;+;+;+;+;+	777	13	12	14	70	39	24
PBANKA_0400850	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	23714;23954;24637;24726	23785;24634;24723;24746	-;-;-;-	861	37	50	33	80	71	72
PBANKA_0400900	PbANKA_04_v3	25826	26944	-	1119	868	945	1163	408	368	267
PBANKA_0401000	PbANKA_04_v3;PbANKA_04_v3	28106;28328	28183;30106	-;-	1857	2718	2574	2591	2559	2557	1878
PBANKA_0401100	PbANKA_04_v3	34262	38182	+	3921	5608	5578	5500	12722	12972	14925
PBANKA_0401200	PbANKA_04_v3	40580	44404	+	3825	758	621	826	590	422	420
PBANKA_0401300	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	45403;45988;46237	45762;46089;46305	-;-;-	531	895	808	800	1253	965	742
PBANKA_0401400	PbANKA_04_v3	47796	49220	-	1425	1344	1248	1419	6610	5784	6598
PBANKA_0401500	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	52811;53048;53253	52888;53140;56822	-;-;-	3741	3565	3277	3366	9980	8083	10116
PBANKA_0401600	PbANKA_04_v3	59454	61787	-	2334	1954	1866	1665	3248	2869	1958
PBANKA_0401700	PbANKA_04_v3	62664	66626	-	3963	609	485	626	1623	1350	1589
PBANKA_0401800	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	68998;69421;72603;72802;73421	68999;72442;72703;72880;73498	+;+;+;+;+	3282	2775	2428	2409	7485	6189	5640
PBANKA_0401900	PbANKA_04_v3;PbANKA_04_v3	74403;75059	74860;75059	-;-	459	2043	1897	1760	2298	2885	2400
PBANKA_0402000	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	77345;78727;78969;79160;79365;79600;79789;79973	78634;78800;79009;79275;79492;79680;79852;80014	+;+;+;+;+;+;+;+	1836	1569	1150	1332	3789	2972	4290
PBANKA_0402100	PbANKA_04_v3	81605	87079	+	5475	850	798	665	11636	10260	14468
PBANKA_0402200	PbANKA_04_v3	87845	88372	+	528	74	90	70	124	88	48
PBANKA_0402300	PbANKA_04_v3	88838	90169	-	1332	1242	1028	1285	1717	1679	2312
PBANKA_0402400	PbANKA_04_v3	91125	92846	+	1722	1461	1452	1434	1066	845	1050
PBANKA_0402500	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	92973;93213;93712	93109;93569;93796	-;-;-	579	28551	29345	29514	1104	1463	760
PBANKA_0402600	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	94549;95607;96586;96896;97143	95507;96439;96800;97045;97340	-;-;-;-;-	2355	266	217	228	478	417	359
PBANKA_0402700	PbANKA_04_v3	99776	101314	+	1539	238701	220945	244572	6671	8075	6148
PBANKA_0402800	PbANKA_04_v3	102972	104561	-	1590	1024	878	814	3203	3171	3018
PBANKA_0402900	PbANKA_04_v3	107475	111140	+	3666	717	729	918	3235	2703	3192
PBANKA_0403000	PbANKA_04_v3;PbANKA_04_v3	112358;112744	112570;112842	+;+	312	4523	3970	3024	6654	8613	3587
PBANKA_0403100	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	113352;113673;113884	113555;113771;114087	-;-;-	507	1457	1318	1422	797	912	427
PBANKA_0403200	PbANKA_04_v3	115144	116166	-	1023	60	41	49	203	108	62
PBANKA_0403300	PbANKA_04_v3	118805	122911	+	4107	253	259	285	456	267	265
PBANKA_0403400	PbANKA_04_v3	123368	123886	-	519	471	407	363	480	478	295
PBANKA_0403500	PbANKA_04_v3;PbANKA_04_v3	125196;125479	125330;126489	-;-	1146	165	122	76	398	345	148
PBANKA_0403600	PbANKA_04_v3;PbANKA_04_v3	127356;137409	137236;137946	-;-	10419	2359	2217	2329	29113	25537	30746
PBANKA_0403700	PbANKA_04_v3	140698	143397	+	2700	5247	4700	5170	3913	3696	3992
PBANKA_0403800	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	144333;144697;144935	144585;144840;146745	-;-;-	2208	1638	1488	1144	6834	5705	4384
PBANKA_0403900	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	148343;148662;148827	148511;148733;149023	+;+;+	438	1130	992	970	3048	2904	2567
PBANKA_0404000	PbANKA_04_v3	149758	159693	-	9936	1115	1232	1039	3295	3437	2708
PBANKA_0404100	PbANKA_04_v3	161768	163390	-	1623	1205	1061	1199	8166	6676	8500
PBANKA_0404200	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	164544;164817;165216	164684;165086;165224	-;-;-	420	3298	2979	2331	7774	8571	8574
PBANKA_0404300	PbANKA_04_v3	167234	169948	+	2715	1229	1061	1318	14768	14159	24673
PBANKA_0404400	PbANKA_04_v3	171168	171578	-	411	2697	1978	2059	3116	3032	2993
PBANKA_0404500	PbANKA_04_v3;PbANKA_04_v3	173316;173540	173381;174535	-;-	1062	468	424	386	1100	911	555
PBANKA_0404600	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	176530;176644;176875;177144;177454	176567;176761;177021;177294;178052	+;+;+;+;+	1053	1376	1232	1137	2456	1859	1381
